Section,Fee Code,CFR Section,Description,Standard Fee,Small Entity Fee,Micro Entity Fee
Miscellaneous patent fees,1718,International,search (IPOPHL),600.00,600.00,600.00
Miscellaneous patent fees,1806/2806/3806,1.17(p),Submission of an,280.00,112.00,56.00
Miscellaneous patent fees,1807/2807/3807,1.17(q),Processing fee for provisional applications,54.00,54.00,54.00
Miscellaneous patent fees,1808/2808/3808,1.17(i)(2),Other publication processing fee,151.00,151.00,151.00
Miscellaneous patent fees,1809/2809/3809,1.17(r),Filing a submission after final,945.00,378.00,189.00
Miscellaneous patent fees,1810/2810/3810,1.17(s),For each additionalinvention to,945.00,378.00,189.00
Miscellaneous patent fees,1811/2811/3811,1.20(a),Certificate of correction,172.00,172.00,172.00
Miscellaneous patent fees,1816/2816/3816,1.20(b),Processing fee for correcting inventorship,172.00,172.00,172.00
Miscellaneous patent fees,1819/2819/3819,1.17(d),Correction of inventorship after,690.00,276.00,138.00
Miscellaneous patent fees,1830/2830/3830,1.17(i)(1),"Processing fee, except",150.00,60.00,30.00
Miscellaneous patent fees,1832/2832/3832,1.17(v)(1),Filing an Information,200.00,200.00,200.00
Miscellaneous patent fees,1833/2833/3833,1.17(v)(2),Filing an Information,500.00,500.00,500.00
Miscellaneous patent fees,1834/2834/3834,1.17(v)(3),Filing an Information,800.00,800.00,800.00
Miscellaneous patent fees,8005,1.19(a)(1),Patent Application Publication (PAP),3.00,3.00,3.00
Miscellaneous patent fees,8017,1.19(f),Copy of non-U.S. document,27.00,27.00,27.00
Miscellaneous patent fees,8020,1.21(e),International type search report 43.00 43.00 43.00 n/a 1.21(h)(1) Recording each patent assignment,0.00,0.00,0.00
Miscellaneous patent fees,8022,1.21(i),Publication in Official Gazette,27.00,27.00,27.00
Miscellaneous patent fees,8053,1.21(p),Additional fee for overnight delivery,43.00,43.00,43.00
Miscellaneous patent fees,8054,1.21(q),Additional fee for expedited service,183.00,183.00,183.00
Patent trial and appeal fees,1405/2405/3405,41.20(a),Petitions to the Chief,452.00,452.00,452.00
Patent trial and appeal fees,1407/2407/3407,42.15(a)(3),Inter partes review request of each,470.00,470.00,470.00
Patent trial and appeal fees,1409/2409/3409,42.15(b)(3),Post-grant or covered,595.00,595.00,595.00
Patent trial and appeal fees,1415/2415/3415,42.15(a)(4),Inter partes post-institution request,940.00,940.00,940.00
Patent trial and appeal fees,1814/2814/3814,1.20(d),"Statutory disclaimer,",183.00,183.00,183.00
Patent trial and appeal fees,1821/2821/3821,1.20(c)(3),Each reexamination independent,600.00,240.00,120.00
Patent trial and appeal fees,1822/2822/3822,1.20(c)(4),Each reexamination claim in excess of,200.00,80.00,40.00
Patent trial and appeal fees,1828/2828/3828,1.20(k)(3)(i),Supplemental examinationdocument,195.00,78.00,39.00
Patent trial and appeal fees,1829/2829/3829,1.20(k)(3)(ii),Supplemental examinationdocument,325.00,130.00,65.00
Patent petition fees,1411/2411/3411,42.15(d),Request to make a,452.00,452.00,452.00
Patent petition fees,1419/2419/3419,42.15(f),Request for Director Review of,452.00,452.00,452.00
Patent petition fees,1420/2420/3420,42.15(f),Request for Director Review of a,452.00,452.00,452.00
Patent petition fees,1421/2421/3421,42.15(f),Request for Director Review of,452.00,452.00,452.00
Patent petition fees,1462/2462/3462,1.17(f),Petitions requiring the petition fee set,450.00,180.00,90.00
Patent petition fees,1464/2464/3464,1.17(h),Petitions requiring the petition fee set,150.00,60.00,30.00
Patent Cooperation Treaty fees,1701,PCT,International filing fee (first 30 pages - filed electronically without ePCT or PCT-EASY .zip file),1482.00,1482.00,1482.00
Patent Cooperation Treaty fees,1710,PCT,International filing fee (first 30 pages - filed electronically with ePCT or PCT-EASY .zip file),1362.00,1362.00,1362.00
Patent penalty fines,9301,35 U.S.C. 41(j),Penalty for false small entity assertion,Variable,Variable,Variable
Patent fees,1051/2051/3051,1.16(f),"Surcharge - Late filing fee,",170.00,68.00,34.00
Patent fees,1052/2052/3052,1.16(g),Surcharge - Late provisional filing fee,65.00,26.00,13.00
Patent fees,1203/2203/3203,1.16(j),Multiple,925.00,370.00,185.00
Patent fees,1204/2204/3204,1.16(h),Each reissue independent claim in,600.00,240.00,120.00
PCT fees - national stage,1455/2455/3455,1.18(e),Filing an application for,226.00,226.00,226.00
PCT fees - national stage,1459/2459/3459,1.20(j)(3),Subsequent application for,680.00,680.00,680.00
PCT fees - international stage,1606/2606/3606,1.482(a)(1)(ii),Preliminary examination fee - U.S.,880.00,352.00,176.00
PCT fees - international stage,1607/2607/3607,1.482(a)(2),Supplemental examination fee,705.00,282.00,141.00
PCT fees - national stage,1617/2617/3617,1.492(h),"Search fee, examination fee or",170.00,68.00,34.00
PCT fees - national stage,1618/2618/3618,1.492(i),English translation after thirty,150.00,60.00,30.00
PCT fees - international stage,1621/2621/3621,1.445(a)(4),Transmitting application to Intl. Bureau,285.00,114.00,57.00
PCT fees - international stage,1627/2627/3627,1.445(a)(5),and Late furnishing fee for providing,345.00,138.00,69.00
PCT fees - national stage,1633/2633/3633,1.492(c)(2),National stage examination fee -,880.00,352.00,176.00
PCT fees - national stage,1642/2642/3642,1.492(b)(3),National stage search fee -,580.00,232.00,116.00
PCT fees - national stage,1681/2681/3681,1.492(j),National stage application size fee -,450.00,180.00,90.00
PCT fees - international stage,1690/2690/3690,1.445(a)(1)(ii),Non-electronic filing fee (additional,400.00,200.00,200.00
PCT fees - international stage,1706,Handling,"fee - 90% reduction,",24.10,24.10,24.10
Hague - international design application fees,1781/2781/3781,1.1031(a),Hague international design,130.00,52.00,26.00
PCT fees - national stage,1783/2783/3783,1.17(t),Petition to convert an,195.00,78.00,39.00
Patent fees,4011†,1.16(a),Basic filing fee - Utility (electronic,n/a,70.00,n/a
Hague - international design application fees,8001,1.19(a)(1),"Printed copy of patent w/o color,",3.00,3.00,3.00
Hague - international design application fees,8003,1.19(a)(2),Uncertified printed copy of plant,16.00,16.00,16.00
Hague - international design application fees,8007,1.19(b)(1)(i)(A),Copy of patent application,38.00,38.00,38.00
Hague - international design application fees,8010,1.19(b)(1)(i)(D),"Individual application documents,",27.00,27.00,27.00
Hague - international design application fees,8013,1.19(b)(3),"Copy of office records, except",27.00,27.00,27.00
Hague - international design application fees,8014,1.19(b)(4),"For assignment records, abstract of",38.00,38.00,38.00
Hague - international design application fees,8021,1.21(h)(2),Recording each,54.00,54.00,54.00
Hague - international design application fees,8026,1.21(n),Handling fee for incomplete,151.00,151.00,151.00
Hague - international design application fees,8051,1.19(b)(1)(i)(B),"Copy patent file wrapper, paper",312.00,312.00,312.00
Hague - international design application fees,8052,1.19(b)(1)(ii)(B),"Copy patent file wrapper,",65.00,65.00,65.00
